Fx,Fy,Fz,Mx,My,Mz
-2.003574048,2.003574048,45.37602652,-1.630975033,1.630975033,1.19352097
-0.942288559,0.942288559,45.05791453,-2.257723817,2.257723817,10.86946287
15.4975486,-15.4975486,41.38342302,-2.938106631,2.938106631,0.505321076
-0.346932068,0.346932068,45.64358687,-1.334814975,1.334814975,0.006229162
-1.865744968,1.865744968,45.2939581,-2.111592504,2.111592504,-7.12749277
-0.924890582,0.924890582,44.66642284,-2.056359673,2.056359673,-14.77073845
-0.359718001,0.359718001,45.63286696,-1.399177112,1.399177112,0.104332152
-1.987574436,1.987574436,44.38600317,-2.129604164,2.129604164,-15.42279157
-1.465356476,1.465356476,43.62611044,-9.452014574,9.452014574,2.623336277
-2.186596718,2.186596718,44.97611843,-0.563841753,0.563841753,2.834339002
-2.141283213,2.141283213,45.46154889,-3.17267164,3.17267164,-0.083159724
6.643928538,-6.643928538,45.04577641,-2.348142154,2.348142154,0.869186145
2.336298666,-2.336298666,45.45389991,-1.930137837,1.930137837,-0.776295937
-1.389072061,1.389072061,45.40362911,-2.40542483,2.40542483,2.933335635
-0.828955637,0.828955637,45.4796595,-2.55089433,2.55089433,1.497209629
-10.23819082,10.23819082,43.903511,-1.456163732,1.456163732,0.056697898
-0.418062512,0.418062512,45.3836485,-2.371660092,2.371660092,6.778297909
-10.38937771,10.38937771,43.82839343,-2.703623441,2.703623441,-3.164771073
-0.620490887,0.620490887,45.69198752,-2.812347017,2.812347017,0.415994307
-0.857311099,0.857311099,45.5837744,-2.985270626,2.985270626,-0.870072146
5.826225535,-5.826225535,45.06412431,-2.295160798,2.295160798,0.436754098
5.532857769,-5.532857769,45.23482409,-1.804778876,1.804778876,0.340203289
-0.391173376,0.391173376,45.55881184,-3.481632588,3.481632588,1.197106377
1.006875085,-1.006875085,45.57610929,-2.567210474,2.567210474,0.708909321
3.410769349,-3.410769349,45.35630532,-3.015902992,3.015902992,-0.156343932
-0.627842371,0.627842371,45.71481752,-3.180127931,3.180127931,0.412130249
-15.40542773,15.40542773,41.89568655,-4.015510142,4.015510142,0.051844072
-5.817709322,5.817709322,44.88409195,-2.238943584,2.238943584,-0.21166477
-4.089998502,4.089998502,45.44080781,-3.614594171,3.614594171,0.422715308
14.21954257,-14.21954257,42.07083133,-2.386982874,2.386982874,0.623616021
-0.371342845,0.371342845,45.57003441,-3.411632045,3.411632045,1.629260078
11.41871359,-11.41871359,43.37377799,-2.029431372,2.029431372,1.401271955
-1.742235003,1.742235003,44.66001317,-2.170897451,2.170897451,-13.68002738
-1.29859347,1.29859347,44.64547485,-2.431862804,2.431862804,-13.81774574
-14.28933667,14.28933667,42.73977243,-3.926693128,3.926693128,1.178712029
-0.488992333,0.488992333,45.31981526,-2.597601032,2.597601032,-5.808314573
-3.883532738,3.883532738,45.41811924,-2.010270041,2.010270041,-0.257582674
-2.366247319,2.366247319,45.36570517,-2.396609138,2.396609138,0.854412579
-0.678213247,0.678213247,45.47883389,-2.585182613,2.585182613,4.315752338
-5.126253031,5.126253031,45.02494664,-4.213780028,4.213780028,-1.626601449
0.196428084,-0.196428084,45.55007028,-2.759680618,2.759680618,0.451765227
-0.360890664,0.360890664,44.64510842,-7.575603658,7.575603658,2.090400805
-2.263083168,2.263083168,44.38009141,-2.520356557,2.520356557,-14.43377326
4.904675935,-4.904675935,45.32542764,-2.889097613,2.889097613,-0.182091883
-1.274603433,1.274603433,45.50864759,-2.031345463,2.031345463,2.127881777
-8.19391054,8.19391054,44.51123723,-1.157475272,1.157475272,-0.5104127
9.561704248,-9.561704248,43.92447542,-1.433519052,1.433519052,0.92349286
-0.986104992,0.986104992,44.92979947,-2.776096663,2.776096663,13.29722905
-1.572420769,1.572420769,45.26471763,-2.622678452,2.622678452,7.51441636
-1.312809399,1.312809399,45.58931912,-1.940373014,1.940373014,-0.036154174
9.957235231,-9.957235231,42.80361839,1.215988004,-1.215988004,-0.407733187
-0.28338367,0.28338367,45.51596694,-1.961633623,1.961633623,0.432909935
3.115567306,-3.115567306,45.28473247,-0.960123026,0.960123026,0.091555508
-1.685624639,1.685624639,43.38273487,-10.16228497,10.16228497,2.526000825
10.24364486,-10.24364486,43.4329412,-5.679178027,5.679178027,0.662097108
-4.638327425,4.638327425,45.44933555,-2.584631954,2.584631954,-0.464530877
-8.423778687,8.423778687,44.55599536,-2.9323992,2.9323992,-1.504144067
3.331424643,-3.331424643,45.30954496,-2.465728934,2.465728934,-0.900484474
9.011543893,-9.011543893,43.92243629,-4.9237051,4.9237051,1.320761415
-0.575636511,0.575636511,45.54961194,-2.493025196,2.493025196,2.143594792
-4.056597666,4.056597666,45.45546628,-2.70494706,2.70494706,-0.622180682
0.072613464,-0.072613464,45.47208184,-1.894387566,1.894387566,5.472663167
-4.53096147,4.53096147,45.31386301,-3.772004817,3.772004817,-1.183815882
-2.753344888,2.753344888,43.13162993,-1.490636104,1.490636104,-19.65319453
14.60285954,-14.60285954,41.87345108,-3.067949324,3.067949324,0.318800533
-1.919789913,1.919789913,45.47044995,-4.52681876,4.52681876,1.837164188
4.602415069,-4.602415069,45.24484592,-2.165717058,2.165717058,-0.143250565
-3.617185181,3.617185181,45.30196717,-2.536213756,2.536213756,1.04393099
-1.116852978,1.116852978,45.40943562,-2.220728381,2.220728381,6.567854161
0.61824592,-0.61824592,45.59905178,-0.762475856,0.762475856,-0.588352217
-0.677752199,0.677752199,45.58656875,-2.348194303,2.348194303,-3.554569912
-2.585378193,2.585378193,44.68154555,-0.243210598,0.243210598,3.422393548
-1.158928076,1.158928076,43.118733,-10.82100781,10.82100781,3.2189085
-2.111958783,2.111958783,44.40744463,0.425713385,-0.425713385,1.068856991
-2.403468304,2.403468304,44.32824001,0.259208236,-0.259208236,2.897407585
-1.630365181,1.630365181,45.09179139,-2.808296177,2.808296177,10.05606448
4.835740747,-4.835740747,44.81426743,-1.379133448,1.379133448,-0.71535508
-1.519050781,1.519050781,44.50745097,-2.3554674,2.3554674,-14.88840539
-1.784451145,1.784451145,45.26595048,-2.26071194,2.26071194,2.489955106
1.1809214,-1.1809214,45.68476691,-1.924273825,1.924273825,-0.052392275
-0.362970294,0.362970294,45.61722477,-2.623205286,2.623205286,1.012916856
8.153347063,-8.153347063,44.46430214,-2.58808243,2.58808243,-0.04171224
-1.521841845,1.521841845,44.52375187,-2.471462848,2.471462848,15.48349686
-2.862882155,2.862882155,43.58334844,2.033670695,-2.033670695,2.839498248
-0.28526036,0.28526036,45.70139853,-3.185587988,3.185587988,0.688365981
-1.441212063,1.441212063,45.44009125,-2.518081313,2.518081313,-4.478055706
-1.747556102,1.747556102,45.08099913,-0.891292606,0.891292606,2.374018217
-0.468114141,0.468114141,45.47130026,-2.00450026,2.00450026,0.703338167
-11.04128329,11.04128329,43.78681578,-3.971924342,3.971924342,0.638895966
-2.688894854,2.688894854,43.79149843,1.392622633,-1.392622633,2.921592479
-2.250114149,2.250114149,44.09800864,1.469281475,-1.469281475,4.17887229
-1.689505564,1.689505564,45.18468091,-1.664371183,1.664371183,1.653052538
-1.07717719,1.07717719,45.4067406,-2.181385586,2.181385586,2.390449385
-0.332967902,0.332967902,45.67312996,-2.15815257,2.15815257,-0.097573487
